Questions,Answer
What is SMS banking,"HDBank's SMS Banking is a service that allows customers to monitor balance movements on current accounts opened at HDBank through the phone number registered with HDBank.
In addition, SMS Banking also supports customers to inquire about account balance, statement of the last 5 transactions, and services of telecommunications bill payment, phone top-up..."
What is HDBank mobile banking?,"HDBank Mobile Banking is an application on iOS, Android, ... running on smartphones, tablets with network connection, allowing customers to perform transactions with Ho Chi Minh City Development Commercial Joint Stock Bank (HDBank) anytime, anywhere."
Tips to increase credit limit,"Increasing credit limit is not difficult if you can prove that you are a responsible cardholder. Specifically, as you use your credit card, you need to:
Pay your credit balance on time.
Increase your time of posessing the card.
Frequently use your credit card."
What is credti card limit?,Credit limit is the maximum amount that the credit institution approves for your card spending. Each issuing bank has a different minimum and maximum limit for each type of card. Credit limit for each customer may differ even if they use the same type of credit card.
Purpose of overseas transfers,"Serving the needs of customers to buy, transfer and bring foreign currencies abroad for the following purposes:/p>
- Expenses for their own study or that of their relatives.
- Expenses for medical treatment of themselves or their relatives./
- Business trip, travel, visit abroad.
- Pay all kinds of fees and charges for foreign countries.
- Transfer of inheritance money to overseas heirs.
- Going to live abroad.
- Support for relatives abroad.
- Các mục đích chuyển tiền vãng lai một chiều khác."
What is HDBank's cash collection/disbursement service at assigned locations?,"Cash collection/disbursement service at a assigned location is applicable to customers who already have information at HDBank and the information remains unchanged when customers have a need for door-to-door transactions.
If customers do not have information at HDBank but want to use the service, they must register  information at HDBank before using the service.
Cash collection/disbursement service at designated locations to serve customers door-to-door. Preventing fraud and risks for HDBank and customers."
How to keep gold/assets at HDBank?,"1. HDBank accepts to provide custody for precious assets (gold, diamonds...), foreign currencies, valuable papers, important documents (wills, land red books...)
2. Do not accept to provide custory for prohibited assets as prescribed by law: properties that cause explosives, wear and tear...
3. Custody period: From 1 to 12 months.
4. HDBank collects custody fees for each type of asset. Fees apply according to HDBank's policies from time to time."
How do customers receive Ria remittances?,"-  Science and technology are residents or non-residents in Vietnam.
-  Science and technology only need to provide: ID document (ID card/ID card/Passport); 11-digit receipt number (PIN)."
How do customers receive remittances at the counter via MoneyGram?,"Individual customers who are residents or non-residents in Vietnam.
Individual customers only need to provide: ID document (ID card/ID card/Passport); Reference number: code to receive money - including 8 numbers and test questions (if any)."
What are the benefits of this service?,"The seller is guaranteed to be paid in accordance with the order agreed with the buyer, avoiding risks when the buyer withdraws money before the time of payment to the seller."
How do I get interest on my savings book and valuable papers pledged at the Bank?,Your savings number and valuable documents when pledged at the Bank will still enjoy the same interest rate as on the Passbook/Valuable papers according to current regulations.
How to register for SMS Banking?,"If you have an account at HDBank, to register to use HDBank's SMS Banking, please:
- Contact HDBank's branches/transaction offices to get the necessary forms or download and use the form on HDBank Online Banking Website
- Please send the completed application form with all required additional documents directly to any branch/transaction office."
"I have a current account, can I open and use an HDB Pro account?","If you have a regular current account, you can go to the nearest HDBank transaction counter to transfer to your HDB Pro account and enjoy the account's privileges right after registration. Or you can open a new account to join HDBank pro package"
Do I have to go to an HDBank branch/transaction office to open a savings account?,Customers can register to open an account as well as make transactions right on Internet Banking or HD Bank app without going to HDBank branches/transaction offices.
What are prepaid card's features?,"Express your own color and personality through chosen images printed on the card
No need to open a bank account, create a card quickly
Effective expense management, eliminating worries about interest rates and payment limits
Enjoy shopping, easy payment
Cash withdrawal at all HDBank ATMs and in the Napas card system
Scope of use: the card is used within the territory of Vietnam"
What is prepaid card?,"Similar to debit and credit cards, prepaid cards allow you to make payments without the need for cash or checks. Unlike a credit card, you do not pay in advance or later with a prepaid card. Prepaid cards also do not connect directly to a bank account like a debit card. Prepaid cards have no value until you put money in the card."
How to change credit limit of credit cards,"Normally, you can request the card issuing bank to approve a new credit limit, or register to allow automatic approval by the bank. Based on your card spending behaviors, the bank will consider increasing or maintaining your current credit limit."
Terms and conditions for using credit card?,Terms and conditions for using credit card?
"When I don't have collateral, can I get an overdraft?",HDBank can still provide customers with overdrafts without collateral.
Can foreigners with a savings deposit book get a loan?,Foreigners can borrow money with a savings deposit book issued by HDBank.
How to transfer money overseas via MoneyGram?,"1. Records of money transfer abroad in accordance with HDBank's regulations from time to time and by object of money transfer (including remittance abroad via MoneyGram). Customers can buy foreign currencies according to the foreign exchange management regulations of the State Bank.
2. Overseas remittance service: according to the fee schedule of MG issued from time to time & withholding taxes in the territory of Vietnam according to tax department's regulations (if any).
3. Refer to the estimated transfer fee at the link:
https://secure.moneygram.com/embed/estimate
4. Customers, please contact the nearest HDBank for the consultation."
"When I deposit Flexible Savings, what benefits do I get compared to savings with periodic interest?","Flexible Savings has floating interest rate calculated on a periodic basis. If you predict that the interest rate of the banking market will increase/decrease, the interest rate of Flexible Savings will increase/decrease accordingly. In contrast, regular term deposit periodic interest at a fixed interest rate throughout the deposit term."
Hướng dẫn thanh toán và tất toán khoản vay tiêu dùng linh hoạt từ thẻ tín dụng?,"Xem
tại đây
."
How long can I use the overdraft?,You can borrow for a period of up to 12 months
Is it possible to repay loans in foreign currency?,Customers paying loans in foreign currencies will be converted at the buying rate of HDBank at the time of loan repayment.
Is it possible to mortgage Vietnamese cars?,Customers can mortgage Vietnamese car brands.
How long is the maximum loan tenor?,The maximum loan term is from 8 to 12 months/Debt receipt agreement. Customers can sign many different debt collection contracts.
Can I mortgage a car?,Customers can mortgage cars.
Credit card tariff?,"- For more detail
click here"
"I don't have a mortgage, can I borrow to buy an apartment wiht the mortgage as the purchased apartment?","Yes, HDBank provide loans to purchase apartments on the list of projects that HDBank accepts and mortgages the apartment itself."
Can I mortgage old cars?,It is possible to mortgage an old car which is the purchased car.
How often can loan interest be paid?,Interest can be paid monthly/quarterly.
Loans to support family economy in medium and long term for individual customers who can buy real estate?,Customers can  borrow to buy real estate to serve business activities.
"When I deposit fund to receive interest at the end of the period, can I register to receive interest through my personal current account?",You can register to receive interest through your personal current account.
"I have a regular current account, how can I enjoy promotions of HDB Sky One?","Your account will automatically apply the benefits of HDB Sky One as follows:
Average account balance from 1 million VND/month, the account automatically updates the offers of HDB Sky One Gold package.
Average account balance is from 5 million VND / month, the account automatically updates the offers of HDB Sky One Diamond package."
What are the investment funds available for this insurance product?,"Your assets will increase more by choosing 3 Unit-linked Funds including: Growth Fund, Development Fund and Conservation Fund with different investment objectives. You can choose a Fund or a combination of Funds to create your own investment portfolio to suit your investment expectations and risk tolerance.
The Funds will be managed by highly qualified, knowledgeable investment professionals and supported by the investment experience of the parent company Dai-ichi Life Japan; making your investment safe, saving your time in searching for information and limiting unnecessary investment risks."
Can I withdraw part of my deposit before the maturity date?,You cannot withdraw part of the deposit before maturity.
Can I borrow money to repair my house without having a building permit?,"If the repair doesn't change the exterior structure of the house, a building permit is not required. Please contact the nearest branch or hotline number for more detailed advice."
Why should I apply for a personal loan at HDBank?,"What makes Personal Loans at HDBank more attractive than at other banks?
Competitive interest rates, simple process, less paperwork, simple procedure."
What is a fund unit?,The fund unit of a fund is a breakdown of the fund's asset value. Fund unit holders will indirectly own the fund's financial assets but have no power to influence the fund's operating policies. Investment decisions are entrusted to a fund management company.
What types of interest calculation are available for regular term deposits?,"When placing regular term deposits, you can choose to receive interest through the following forms: at the end of the period, periodically, at the beginning of the period."
"I want to borrow to buy land, how long is the maximum loan tenor and how much is the maximum loan amount?","Depending on the customer's income and loan repayment ability to determine the maximum loan amount, HDBank does not limit the maximum loan amount.
Loan tenor can be up to 25 years."
What is the minimum amount can I borrow from HDBank Consumer Loan?,Customers need to borrow a minimum amount of VND 50 million.
How flexible is unit-linked insurance?,"The flexibility comes from the policyholder being able to choose and change the investment fund by buying or selling fund units. In addition, insurance companies build many investment funds with different investment methods and purchase financial assets at different rates. Buyers can actively choose funds suitable to their investment appetize in each period."
What documents do I need to present to participate in regular term savings?,You just need to bring valid ID/Citizen Identity Card/Passport.
What are the investment funds available for this insurance product?,"Your assets will increase more by choosing 3 Unit-linked Funds including: Growth Fund, Development Fund and Conservation Fund with different investment objectives. You can choose a Fund or a combination of Funds to create your own investment portfolio to suit your investment expectations and risk tolerance.
The Funds will be managed by highly qualified, knowledgeable investment professionals and supported by the investment experience of the parent company Dai-ichi Life Japan; making your investment safe, saving your time in searching for information and limiting unnecessary investment risks."
"After receiving the loan, I want to use other services, what should I do?","You can call HDBank's hotline, or contact a teller, or go to any branch and fill out the bank's form."
Does HDBank accept agricultural land as mortgage?,"Yes, HDBank still accepts agricultural land as mortgage."
Do I need investment knowledge to participate?,"Buyers don't have to be experts, or have extensive financial knowledge. In fact, the product participants are mostly non-investment professionals. They entrust their investment activities to the insurance company.
However, knowing the basics will help buyers:
- Be aware of the nature of the product
- Understanding fluctuations in asset values is essential.
- Avoid negative emotions when receiving undesirable results."
When and how much are total permanent disability income protection benefits paid?,The Income protection benefit is paid at the time FWD confirms that the Insured suffers from total permanent disability. FWD will pay benefits depending on the age of the Insured at the time of total permanent disability
What is a fund unit?,The fund unit of a fund is a breakdown of the fund's asset value. Fund unit holders will indirectly own the fund's financial assets but have no power to influence the fund's operating policies. Investment decisions are entrusted to a fund management company.
What are the differences form other universal life insurance products on the market?,"The differences from other Universal Life Products on the market are:
Pioneering with the option of additional protection for 01 more loved one
Higher level of protection for children
Flexible choice of protection period
The term of protection is up to 100 years old."
