image,title,short_description,date,detail
https://cdn.hdbank.com.vn/hdbank-file/news/TruyenthongJCB11400x228_1744191690344.jpg,GIẢM ĐẾN 30% TẠI 100+ NHÀ HÀNG,"✨Giảm Đến 30% Tại 100+ Nhà Hàng Chuẩn Phong Cách Nhật, Á, Âu Dành Cho Chủ Thẻ Tín Dụng HDBank JCB Ultimate",09/04/2025 - 31/12/2025,"Đặc quyền ẩm thực đỉnh cao dành cho chủ thẻ tín dụng HDBank JCB Ultimate tại 100+ nhà hàng cao cấp. Nhanh tay lên lịch và chọn ngay nhà hàng yêu thích để tận hưởng ưu đãi lên đến 30% trên tổng hóa đơn khi thanh toán bằng thẻ HDBank JCB Ultimate.
Giảm đến 30% hóa đơn
100+ nhà hàng toàn quốc
Tìm kiếm và đặt lịch dễ dàng
Nội dung chi tiết
Tận hưởng món ngon trọn vị và nhận ưu đãi đến 30% tại 100+ nhà hàng dành cho chủ thẻ HDBank JCB Ultimate trong thời gian khuyến mại.
Thời gian ưu đãi: Đến 31/12/2025 hoặc đến khi có thông báo ngừng chương trình
 Đối tượng áp dụng: Khách hàng cá nhân (KH) là chủ thẻ tín dụng quốc tế HDBank JCB Ultimate còn hiệu lực (bao gồm chủ thẻ phụ).
Sản phẩm áp dụng: Thẻ tín dụng quốc tế HDBank JCB Ultimate. 
Loại giao dịch: Giao dịch thanh toán hóa đơn ăn uống và dịch vụ tại nhà hàng tham gia chương trình khuyến mại của JCB. 
Quy định chung:
- Đầu mối:
Giải đáp sản phẩm dịch vụ Thẻ HDBank: Trung tâm dịch vụ khách hàng Hotline 19006060 (1.000 đồng/phút)
Đặt bàn và sử dụng tại 100+ nhà hàng: 024 7300 9009
-Quy định khác:
+ Khách hàng được tham gia đồng thời các chương trình khuyến mại khác của HDBank
+ Thẻ tín dụng được áp dụng khuyến mại là thẻ còn hiệu lực, không hủy/bị hủy, hoặc bị nợ quá hạn trong thời gian chương trình khuyến mại.
+ Khách hàng tham gia chương trình đồng nghĩa khách hàng đã hiểu và đồng ý với các quy định và thể lệ của chương trình.
Share
JCB
Ẩm thực"
https://cdn.hdbank.com.vn/hdbank-file/news/JCBPrem2_1742871832540.jpg,ĐẶC QUYỀN JCB PREMIUM SERVICE 2025,Trải nghiệm đẳng cấp cùng Premium Service 2025 dành riêng chủ thẻ HDBank JCB Ultimate với vô vàn đặc quyền tinh hoa,09/01/2025 - 31/12/2025,"Miễn phí đến 13 lượt sử dụng phòng chờ hoặc dịch vụ fast-track tại sân bay cho chủ thẻ HDBank JCB Ultimate khi tham gia chương trình JCB Premium Service trên zalo
TRẢI NGHIỆM TÍNH NĂNG VƯỢT TRỘI
Dễ dàng đăng ký và theo dõi đặc quyền mọi lúc, mọi nơi
Cập nhật và quản lý số lượt đặc quyền được tặng 
Đăng ký nhanh chóng và bảo mật thông tin
  HƯỚNG DẪN
Nội dung chi tiết
Đặc quyền
Nội dung
Điều kiện
Lưu ý
Dịch vụ sân bay
✅ Tặng 01 lượt sử dụng miễn phí phòng chờ sân bay hoặc dịch vụ fast-track ngay sau khi đăng ký tham gia chương trình JCB Premium Service (1 lượt duy nhất sau khi đăng ký thành công)
- Miễn phí dẫn theo 01 trẻ em dưới 02 tuổi và không áp dụng khách đi kèm
- Áp dụng ga quốc tế/nội địa Việt Nam
- Áp dụng chuyển bay thẳng từ Việt Nam đến Nhật Bản
↘️Phòng chờ 👉 Xem chi tiết
- Đặt chỗ ít nhất 1 ngày trước ngày sử dụng dịch vụ.
- Mã QR phòng chờ chỉ có hiệu lực sử dụng trong 1 ngày (đến 23:59:59 của ngày T+1) kể từ ngày đổi mã (ngày T).
✅ Tặng 01 lượt/thẻ/tháng tối đa đến 12 lượt/năm sử dụng miễn phí phòng chờ hoặc dịch vụ fast-track khi tổng chi tiêu ở nước ngoài trong tháng trước đó đạt từ 15 triệu đồng trở lên. Được cộng dồn lượt ưu đãi tích lũy qua các thángD
- Miễn phí dẫn theo 01 trẻ em dưới 02 tuổi và & có thể mời khách đi kèm, lượt sử dụng của khách đi kèm sẽ được tính vào lượt sử dụng ưu đãi của chủ thẻ đó.
- Áp dụng tại sân bay quốc tế Việt Nam
- Áp dụng tất cả chuyến bay
↘️Fast-track 👉 Xem chi tiết
Đặt chỗ ít nhất 2 ngày trước ngày sử dụng dịch vụ.
Nghỉ dưỡng
-Miễn phí 01 đêm khi đặt phòng ít nhất 2 đêm liền kề
-Tối đa 2 lần/khách hàng/năm
Áp dụng phòng tiêu chuẩn cho 2 người gồm bữa sáng
Đặt dịch vụ ít nhất 2 ngày trước ngày sử dụng (khuyến khích thực hiện ít nhất 7 ngày để đảm bảo quyền lợi đặc quyền.)
👉 Xem chi tiết
Golf
Giảm đến 1.000.000 VND/lượt chơi
- Ưu đãi 1.000.000 VND: 02 lượt/khách hàng/năm
- Ưu đãi 500.000 VND: 04 lượt/khách hàng/năm
Áp dụng tại 55 sân Golf khắp Việt Nam
- Đặt ít nhất 2 ngày trước ngày sử dụng dịch vụ 👉Xem chi tiết
Ẩm thực
Giảm 30% tối đa 1.000.000 VND
- Áp dụng cho hóa đơn từ 2.000.000 VND tại 31 nhà hàng Nhật Bản và nhà hàng cao cấp được chọn bởi Michelin tại Việt Nam
- Không giới hạn số lượng khách đi cùng
- Đặt chỗ ít nhất 24h trước giờ sử dụng dịch vụ.
- Chủ thẻ phải sử dụng thẻ JCB đã dùng để đặt chỗ khi thanh toán chi phí bữa ăn để được hưởng đặc quyền. 👉Xem chi tiết
Thời gian ưu đãi: đến 31/12/2025
 Đối tượng áp dụng: Khách hàng cá nhân là chủ thẻ tín dụng quốc tế HDBank JCB Ultimate còn hiệu lực (bao gồm chủ thẻ chính và chủ thẻ phụ)
Sản phẩm áp dụng: Thẻ tín dụng quốc tế HDBank JCB Ultimate
Quy định chung:  Các ưu dãi có điều kiện và điều khoản áp dụng, vui lòng xem chi tiết trước khi sử dụng
Share
JCB"
https://cdn.hdbank.com.vn/hdbank-file/news/MaiHouse400x228_1745297350768.jpg,GIẢM 10% TẠI MAI HOUSE SAIGON HOTEL,Ưu Đãi 10% Dành Cho Chủ Thẻ Tín Dụng HDBank Khi Đặt Phòng Lưu Trú Và Thưởng Thức Ẩm Thực Tại Khách Sạn Cao Cấp Mai House Saigon,13/03/2025 - 13/03/2026,"Từ nay đến 13/3/2026, Giảm 10% trên giá phòng công bố, hóa đơn thanh toán dịch vụ và ẩm thực tại khách sạn cao cấp Mai House Sài Gòn khi khách hàng thanh toán bằng thẻ tín dụng HDBank.
Giảm 10% trên giá phòng công bố
Giảm 10% cho hóa đơn ẩm thực
Giảm 10% cho các dịch vụ khác
Nội dung chi tiết
Giảm 10% trên giá phòng công bố, hóa đơn thanh toán dịch vụ và ẩm thực tại khách sạn cao cấp Mai House Sài Gòn khi khách hàng thanh toán bằng thẻ tín dụng HDBank trong thời gian diễn ra chương trình khuyến mại.
 Thời gian áp dụng: Từ nay đến 13/3/2026
 Đối tượng áp dụng: Khách hàng cá nhân chủ thẻ tín dụng HDBank còn hiệu lực (bao gồm chủ thẻ phụ).
Sản phẩm áp dụng: Thẻ tín dụng HDBank (không bao gồm thẻ Vikki, Muadee)
Phạm vi áp dụng:
157 Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu, Quận 3, TP.Hồ Chí Minh.
Website: https://maihouse.com.vn/
Hotline: (84) 028 7303 9000
Quy định chung:
- Áp dụng thanh toán trực tiếp bằng thẻ tín dụng HDBank.
- Đặt trực tiếp tại khách sạn, không thông qua bên thứ ba.
- Chủ thẻ xuất trình thẻ Ngân hàng HDBank và thanh toán dịch vụ trực tiếp tại điểm áp dụng ưu đãi.
- Ưu đãi không được chuyển nhượng,không áp dụng đồng thời với phiếu quà tặng và các chương trình khác
- Quý khách vui lòng liên hệ tổng đài 1900 6060 (1000đ/phút) để được hỗ trợ thêm các thông tin khác.
Share
Du lịch"
https://cdn.hdbank.com.vn/hdbank-file/news/400x228_1730964910168.jpg,ĐẶC QUYỀN PHÒNG CHỜ SÂN BAY VÀ TIỄN KHÁCH ƯU TIÊN,"Trải Nghiệm Đặc Quyền Thượng Đỉnh Dành Riêng Cho Chủ Thẻ HDBank JCB Ultimate Trong Chương Trình: Phòng Chờ Hạng Thương Gia Tại Sân Bay Quốc Tế, Fast Track - Tiễn Khách Ưu Tiên",10/01/2025 - 31/12/2025,"Trải nghiệm đặc quyền thượng đỉnh dành riêng cho chủ thẻ HDBank JCB Ultimate trong chương trình: Phòng chờ hạng thương gia tại sân bay quốc tế, Fast track - Tiễn khách ưu tiên.
 Nội dung chương trình
1. Dịch vụ tiễn khách ưu tiên - Fast track 👉 xem chi tiết
- Miễn phí dịch vụ tiễn khách ưu tiên thuộc 5 sân bay quốc tế tại Việt Nam
- Áp dụng cho những chuyến bay thẳng từ Việt Nam đến Nhật Bản.
- Mỗi chủ thẻ được miễn phí 01 trẻ em đi kèm dưới 02 tuổi.
- Tối đa 2 lượt/khách hàng/năm (căn cứ CCCD/CMND/Hộ chiếu).
▶️ Quy trình sử dụng dịch vụ tiễn khách ưu tiên trong sân bay
- Bộ phận Fast-track sẽ liên hệ và xác nhận thông tin dịch vụ trước quý khách khi ra sân bay.
- Tại sân bay, bộ phận Fast-track:
+ Đón khách tại khu vực check-in.
+ Hỗ trợ khách hàng qua quầy thủ tục check-in ưu tiên.
+ Hỗ trợ khách hàng qua cửa kiểm tra an ninh bằng lối đi ưu tiên/nội bộ.
+ Hỗ trợ khách hàng qua quầy công an cửa khẩu bằng lối đi ưu tiên/nội bộ.
+ Hướng dẫn khách hàng vị trí ra cửa lên tàu bay hoặc phòng chờ và kết thúc dịch vụ.
▶️ Huỷ chỗ, vắng mặt và thay đổi đặt chỗ
- Việc huỷ lịch đặt dịch vụ hay không đến sân bay theo ngày giờ đặt lịch đã được xác nhận sẽ chịu tính lượt sử dụng dịch vụ theo quy định như sau:
+ Khách hàng thông báo hủy lịch 12 tiếng (đối với ngày thường) và trước 02 ngày (đối với ngày lễ/tết) thì không bị tính lượt sử dụng dịch vụ.
+ Khách hàng thông báo hủy lịch sau 12 tiếng (đối với ngày thường) và sau 02 ngày (đối với ngày lễ/tết) hoặc không đến thì lần đặt dịch vụ đó coi như là được sử dụng.
- Khách hàng có thể thay đổi lịch đặt trong trường hợp có thông báo thay đổi thời gian bay từ các Hãng hàng không cung cấp chuyến bay của khách hàng.
2. Phòng chờ hạng thương gia 
 Việt Nam: Miễn phí sử dụng 7 phòng chờ thuộc 5 sân bay quốc tế tại Việt Nam 👉 xem chi tiết
- Áp dụng cho chuyến bay thẳng từ Việt Nam đến các sân bay quốc tế.
- Mỗi chủ thẻ được miễn phí 01 trẻ em đi kèm dưới 02 tuổi.
- Tối đa 05 lượt/khách hàng/năm(*) gồm: 03 lượt dành cho chủ thẻ có chuyến bay ra nước ngoài + 02 lượt dành cho chủ thẻ có chuyến bay đến Nhật Bản.
(*) Được xác định bằng số CCCD/CMND/Hộ chiếu.
- Miễn phí thêm 1 khách đi cùng (lượt sử dụng của khách đi cùng được trừ vào số lượt của chủ thẻ).
▶️ Hướng dẫn đặt dịch vụ
- Chủ thẻ JCB hợp lệ liên hệ và đăng ký sử dụng dịch vụ để được hưởng ưu đãi của chương trình.
- Chủ thẻ cung cấp thông tin: Họ và tên, Số điện thoại, Email, 6 số đầu + 4 số cuối của thẻ JCB, Mã vé máy bay, Thời gian sử dụng.
- Chương trình sẽ không xử lý các yêu cầu đặt chỗ mà chủ thẻ đã đặt trực tiếp với Phòng chờ Sân bay.
- Việc đặt chỗ và sử dụng dịch vụ phải diễn ra trong cùng một tháng, chương trình không áp dụng cho việc đặt chỗ và sử dụng dịch vụ vào các tháng khác nhau. Ngoại trừ trường hợp sử dụng dịch vụ trong 02 ngày đầu tiên của mỗi tháng, Quý khách có thể liên hệ đặt chỗ trong tháng trước đó.
- Xuất trình thẻ HDBank JCB cùng thẻ lên máy bay cho nhân viên lễ tân tại phòng chờ và ký xác nhận sử dụng dịch vụ phòng chờ qua ứng dụng Mobile App Phòng chờ (C-Airport).
Quốc tế: Miễn phí sử dụng dịch vụ LoungeKey tại 17 phòng chờ thuộc 8 sân bay quốc tế 👉 xem chi tiết
▶️ Hướng đẫn sử dụng dịch vụ 
1. Đến các phòng chờ nằm trong chương trình của JCB 👉 xem danh sách
2. Thông báo với nhân viên phòng chờ
3. Trình Thẻ HDBank JCB cùng thẻ lên máy bay.
- Chỉ áp dụng cho chủ thẻ & không thể chuyển nhượng cho người khác.
- Thẻ lên máy bay hoặc vé máy bay phải có cùng tên với chủ thẻ.
4. Nhân viên phòng chờ quét thẻ
- Khi sử dụng một trong các phòng chờ miễn phí, giới hạn tín dụng ($1- $3.25 USD) sẽ được giữ lại để xác nhận thẻ của quý khách là hợp lệ.
- Số tiền này sẽ được trả sau khi hết thời gian giữ của ngân hàng phát hành. (Thời gian giữ do ngân hàng phát hành xác định.)
5.Thư giãn trước khi khởi hành 
- Thức ăn, đồ uống và truy cập internet có sẵn tại các phòng chờ nằm trong chương trình của JCB
- Dịch vụ được cung cấp trong mỗi phòng chờ có thể khác nhau.
- Quý khách vẫn phải trả phí cho một số dịch vụ khác tại các phòng chờ nằm trong chương trình của JCB
Lưu ý:  Quý khách có thể phải trả 35 USD cho mỗi khách đi kèm hoặc khi vượt quá giới hạn được phép sử dụng miễn phí.
 Đối tượng áp dụng
  Chủ thẻ HDBank JCB Ultimate thỏa điều kiện chương trình
   Điều kiện & Điều khoản chung
- Để sử dụng đặc quyền, chủ thẻ vui lòng liên hệ Hotline 02473 009 009 hoặc Email JCB@cc-c.vn đặt trước ít nhất 2  ngày
- Thông tin này được cập nhật vào tháng 10/2024. Dịch vụ có thể thay đổi hoặc bị chấm dứt mà không cần thông báo trước.
- Các khuyến mại có hiệu lực, điều kiện và điều khoản, vui lòng xem trước khi sử dụng.
- Chương trình không áp dụng chung với các ưu đãi giảm giá và khuyến mại khác của sân bay.
- Số lượt miễn phí là có hạn trong suốt thời gian hiệu lực của chương trình và có thể kết thúc sớm trước dự kiến.
Share"
https://cdn.hdbank.com.vn/hdbank-file/news/400x228_1729580335718.jpg,Hoàn đến 20TR dành riêng thẻ HDBank JCB Ultimate,Sở Hữu Đặc Quyền KIM CƯƠNG Chủ Thẻ Tín Dụng Cao Cấp HDBank JCB Ultimate Nhận Hoàn Tiền Và Giảm Giá Đến 20 Triệu Đồng. Dùng Thẻ Ngay!,10/04/2025 - 31/12/2025,"Sở hữu đặc quyền KIM CƯƠNG chủ thẻ tín dụng cao cấp HDBank JCB Ultimate nhận hoàn tiền và giảm giá đến 20 triệu đồng. Dùng thẻ ngay!
SIÊU PHẨM HOÀN TIỀN
Hoàn tối đa 500.000đ/ tháng.
Hoàn tối đa 300.000 đồng/tháng
Tối đa 200.000 đồng/tháng
Hoàn tối đa 200.000 đồng/tháng
Phục vụ riêng chủ thẻ cao cấp 
Cho giao dịch từ 2 triệu đồng
    Nội dung chi tiết
Đặc quyền ưu đãi
Nội dung
Điều kiện
Xem chi tiết
Đặc quyền cao cấp
JCB Premium Service
- Miễn phí lượt phòng chờ sân bay và Fast track 
- Giảm đến 30% ẩm thực cao cấp Nhật Bản và Michelin
- Tặng 6 lượt Golf đến 6 triệu đồng
- Miễn phí 1 đêm khi đặt phòng từ 2 đêm nghỉ dưỡng hotel/resorts
Tặng 01 lượt phòng chờ hoặc Fast track ngay sau khi đăng ký dịch vụ JCB Premium Service mini App trên zalo 
Tiếp tục nhận miễn phí 01 lượt/thẻ/tháng khi tổng chi tiêu ở nước ngoài trong tháng trước đó đạt từ 15 triệu đồng trở lên
Tại đây
Hoàn tiền 
Hoàn đến 2.500.000 đồng
- Hoàn 500.000 đồng cho khách hàng có tổng DSGD trong tháng khuyến mại cao hơn DSGD bình quân 3 tháng gần nhất từ 2 triệu đến 10 triệu đồng
Hoàn 2.000.000 đồng cho khách hàng có tổng DSGD trong tháng khuyến mại cao hơn DSGD bình quân 3 tháng gần nhất từ trên 10 triệu đồng
Tại đây
Ngày đôi
Hoàn 10% đến 1.000.000 đồng
Giao dịch tại POS/Online trong ngày đôi
Tại đây
Giảm trực tiếp
Giảm 300.000 đồng mỗi hóa đơn từ 900.0000 đồng tại chuỗi nhà hàng Golden Gate 
Áp dụng cho mỗi hóa đơn từ 900.0000 đồng tại chuỗi nhà hàng Golden Gate (ngoại trừ Kichi-Kichi)
Không giới hạn số lượt ưu đãi, áp dụng mỗi ngày gồm Lễ & Tết
Tại đây
Ẩm thực
Hoàn 10% tối đa 300.000 đồng
Áp dụng thanh toán hóa đơn ăn uống từ 1 triệu đồng
Tại đây
Trả góp
0% lãi suất
Áp dụng giao dịch trả góp qua thẻ tín dụng HDBank JCB
Tại đây
Thời gian ưu đãi: đến 31/12/2025
 Đối tượng áp dụng: Khách hàng cá nhân là chủ thẻ tín dụng quốc tế HDBank JCB Ultimate còn hiệu lực (bao gồm chủ thẻ chính và chủ thẻ phụ)
Sản phẩm áp dụng: Thẻ tín dụng quốc tế HDBank JCB Ultimate
Quy định chung: Các ưu dãi có điều kiện và điều khoản áp dụng, vui lòng xem chi tiết trước khi sử dụng
Share
Cashback
Dining
JCB
Shopping
Travel"
https://cdn.hdbank.com.vn/hdbank-file/news/1200x684px1min_1736828835708.jpg,Ưu đãi của đối tác La Prairie dành cho Khách hàng Đặc biệt HDBank,"KHĐB Là Chủ Thẻ Tín Dụng HD Bank Priority Được Áp Dụng Chương Trình Ưu Đãi Khi Mua Sản Phẩm, Dịch Vụ Và Thanh Toán Bằng Thẻ Tín Dụng HDBank Priority Tại Cửa Hàng La Prairie Việt Nam.",15/01/2025 - 31/12/2025
https://cdn.hdbank.com.vn/hdbank-file/news/400x228_1730362499877.jpg,"Đặc quyền hạng nhất hoàn đến 9,6 triệu mua sắm cả năm","Thẻ Tín Dụng HDBank Priority Với Combo Đặc Quyền HẠNG NHẤT, Hoàn Đến 9,6 Triệu Mua Sắm Cả Năm Và Nhiều Quyền Lợi V.I.P. Khám Phá Ngay",12/02/2025 - 31/12/2025,"Không chỉ sở hữu sắc màu có thể lật đổ ""ngôi đen"", thẻ tín dụng cao cấp HDBank Priority - Tinh tú Phương Đông được hoàn tiền đến 9,6 triệu mua sắm cả năm và nhiều đặc quyền hạng nhất. Dùng thẻ ngay!
ĐẶC QUYỀN HẠNG NHẤT
Hoàn tối thiểu 100.000đ đến 300.000đ/ tháng. Tối đa 3.6 triệu/năm
Hoàn tối thiểu 100.000đ đến 500.000đ/ tháng. Tối đa 6 triệu/năm
Trị giá 1 triệu/ lượt với mỗi 100 triệu đồng DSGD hàng Quý
Nội dung chi tiết
Ưu đãi
Nội dung
Điều kiện
Xem chi tiết
Hoàn tiền
Siêu lì xì đến 10 triệu đồng
Tặng SIÊU LÌ XÌ 10 TRIỆU và hàng vạn ""bao lì xì"" 50K, 500K, 1 triệu đồng khi giao dịch với thẻ tín dụng quốc tế HDBank Priority từ 100.000 đồng
Tại đây
Ẩm thực
Hoàn 10% tối đa 300.000 đồng
Áp dụng thanh toán hóa đơn ăn uống từ 1 triệu đồng
Tại đây
Ngày đôi 
Hoàn 10% đến 1.000.000 đồng
Giao dịch tại POS/Online trong ngày đôi
Tại đây
Trả góp
Hoàn 100% phí chuyển đổi trả góp đến 1.000.000 đồng
Áp dụng giao dịch trả góp từ 2 triệu
Tại đây
Thời gian ưu đãi: đến 31/12/2025
 Đối tượng áp dụng: Khách hàng cá nhân là chủ thẻ tín dụng quốc tế HDBank Priority còn hiệu lực (bao gồm chủ thẻ chính và chủ thẻ phụ)
Sản phẩm áp dụng: Thẻ tín dụng quốc tế HDBank Priority
Quy định chung:  Các ưu dãi có điều kiện và điều khoản áp dụng, vui lòng xem chi tiết trước khi sử dụng
Share
Cashback
Dining
Golf
Priority
Shopping
Travel
Visa"
https://cdn.hdbank.com.vn/hdbank-file/news/400x228_1729591827762.jpg,"Check in ưu tiên, hoàn đến 6 triệu ""bay"" Vietjet",Thẻ Tín Dụng HDBank Vietjet Platinum Của Quý Khách Được Ưu Tiên Check In Và Hoàn Đến 6 Triệu Bay Vietjet Cả Năm Cùng Nhiều Đặc Quyền. Dùng Thẻ Ngay!,10/01/2025 - 31/12/2025,"Thẻ tín dụng HDBank Vietjet Platinum của Quý khách được ưu tiên check in và hoàn đến 6 triệu bay Vietjet cả năm cùng nhiều đặc quyền. Dùng thẻ ngay!
BAY ƯU TIÊN HOÀN TOÀN DIỆN
Check in ưu tiên quầy Vietjet tại sân bay
Hoàn đến 6 triệu đồng/năm vé máy bay Vietjet
Chi trước trả sau miễn lãi đến 55 ngày
Hotline VIP 1800 6868
Bảo hiểm du lịch đến 12 tỷ đồng
Trả góp 0% lãi suất
Nội dung chi tiết
Ưu đãi
Nội dung
Điều kiện
Xem chi tiết
Tặng tiền vé máy bay tối đa 1 triệu đồng
1.000 Khách hàng đầu tiên mua vé máy bay bất kỳ vào các khung giờ vàng mỗi ngày:
- Từ 0h đến 0h30
- Từ 12h đến 12h30
- Từ 20h đến 20h30
Tại đây
Hoàn tiền ẩm thực
Áp dụng thanh toán hóa đơn ăn uống từ 1 triệu đồng
Tại đây
Tặng 10% đến 1.000.000 đồng
Áp dụng giao dịch thanh toán hàng hóa dịch vụ tại POS/Online
Tại đây
Trả góp 0% lãi suất
Chuyển đổi giao dịch trả góp trực tiếp tại HDBank App và hàng ngàn đối tác toàn quốc
Tại đây
Thời gian ưu đãi: đến 31/12/2025
 Đối tượng áp dụng: Khách hàng cá nhân là chủ thẻ tín dụng quốc tế HDBank Vietjet Platinum còn hiệu lực (bao gồm chủ thẻ chính và chủ thẻ phụ)
Sản phẩm áp dụng: Thẻ tín dụng quốc tế  HDBank Vietjet Platinum
Quy định chung: các ưu đãi có hiệu lực, điều kiện và điều khoản áp dụng. Quý khách vui lòng xem chi tiết trước khi sử dụng.
Share
Cashback
Dining
Shopping
Transport
Travel
Visa"
https://cdn.hdbank.com.vn/hdbank-file/news/400x228_1729508535021.jpg,"Tích điểm đổ xăng, hoàn tiền đến 3.900.000 VND","Siêu Deal Tích Điểm Đổ Xăng, Giảm Giá Và Hoàn Tiền Đến 3.900.000 VND Dành Riêng Siêu Thẻ 4 Trong 1 HDBank. Dùng Thẻ Ngay Để Không Bỏ Lỡ Deal ""Vạn Người Mê""!",07/03/2025 - 31/12/2025,"Siêu deal tích điểm đổ xăng, giảm giá và hoàn tiền đến 3.900.000 VND dành riêng siêu thẻ 4 trong 1 HDBank. Dùng thẻ ngay để không bỏ lỡ deal ""vạn người mê""!
ĐỔ XĂNG TÍCH ĐIỂM
Tích 3 điểm cho mỗi 100K giao dịch xăng dầu
Tích 2 điểm cho mỗi 100K giao dịch quốc tế
Tích 1 điểm cho mỗi 100K giao dịch nội địa
Tặng 500 điểm khi tổng giao dịch từ 10 triệu đến dưới 20 triệu/tháng
Tặng 1000 điểm khi tổng giao dịch từ 20 triệu/tháng
Trả góp 0% lãi suất
Nội dung chi tiết
Ưu đãi
Nội dung
Điều kiện
Xem chi tiết
Tháng đẹp
Hoàn 83.000 đồng
Hoàn 30.000 đồng
Đặt món từ 500.000đ trên các ứng dụng giao đồ ăn trực tuyến (GrabFood, ShopeeFood,...)
Giao dịch từ 100.000đ dành cho khách hàng lần đầu giao dịch kể từ ngày kích hoạt thẻ
Tại đây
Ẩm thực
Hoàn 10% đến 300.000 đồng
Áp dụng thanh toán hóa đơn ăn uống từ 1 triệu đồng
Tại đây
Chi tiêu
Hoàn 10% đến 1.000.000 đồng
Áp dụng giao dịch thanh toán hàng hóa dịch vụ tại POS/Online
Tại đây
Trả góp
0% lãi suất
Chuyển đổi giao dịch trả góp trực tiếp tại HDBank App và hàng ngàn đối tác toàn quốc
Tại đây
Thời gian ưu đãi: mỗi ưu đãi có hiệu lực khác nhau tùy chương trình khuyến mại.
 Đối tượng áp dụng: Khách hàng cá nhân là chủ thẻ tín dụng quốc tế HDBank Petrolimex 4in1 còn hiệu lực.
Sản phẩm áp dụng: Thẻ tín dụng quốc tế HDBank Petrolimex 4in1
Quy định chung: các ưu đãi có hiệu lực, điều kiện và điều khoản áp dụng. Quý khách vui lòng xem chi tiết trước khi sử dụng. 
    Share
Cashback
Dining
Mastercard
Shopping
Transport
Travel
Tích điểm"
https://cdn.hdbank.com.vn/hdbank-file/news/400x228_1729592326265.jpg,"Tích điểm, đổi quà, hoàn tiền đến 3.600.000 VND","Thẻ Tín Dụng HDBank Vietjet Của Quý Khách Được Tặng Gói Ưu Đãi Trị Giá Gần 3.600.000 VND Đi Kèm Nhiều Đặc Quyền Ưu Tiên. Dùng Thẻ Ngay, Chi Tiêu Thoải Mái Mà Vẫn Tiết Kiệm!",10/01/2025 - 31/12/2025,"Thẻ tín dụng HDBank Vietjet của Quý khách được tặng Gói ưu đãi trị giá gần 3.600.000 VND đi kèm nhiều đặc quyền ưu tiên. Dùng thẻ ngay, chi tiêu thoải mái mà vẫn tiết kiệm!
CHI TIÊU TÍCH ĐIỂM
Tích 5 điểm cho mỗi 100K giao dịch quốc tế
Tích 1 điểm cho mỗi 100K giao dịch nội địa
Trả góp 0% lãi suất
Nội dung chi tiết
Ưu đãi
Nội dung
Điều kiện
Xem chi tiết
Ưu đãi du lịch
Tặng tiền vé máy bay tối đa 1 triệu đồng
1.000 Khách hàng đầu tiên mua vé máy bay bất kỳ vào các khung giờ vàng mỗi ngày:
- Từ 0h đến 0h30
- Từ 12h đến 12h30
- Từ 20h đến 20h30
Tại đây
Ưu đãi ẩm thực
Hoàn tiền ẩm thực
Áp dụng thanh toán hóa đơn ăn uống từ 1 triệu đồng
Tại đây
Ưu đãi chi tiêu
Tặng 10% đến 1.000.000 đồng
Áp dụng giao dịch thanh toán hàng hóa dịch vụ tại POS/Online
Tại đây
Ưu đãi trả góp
Trả góp 0% lãi suất
Chuyển đổi giao dịch trả góp trực tiếp tại HDBank App và hàng ngàn đối tác toàn quốc
Tại đây
Thời gian ưu đãi: đến 31/12/2025
 Đối tượng áp dụng: Khách hàng cá nhân là chủ thẻ tín dụng quốc tế HDBank JCB Ultimate còn hiệu lực (bao gồm chủ thẻ chính và chủ thẻ phụ)
Sản phẩm áp dụng: Thẻ tín dụng quốc tế HDBank JCB Ultimate
Quy định chung: các ưu đãi có hiệu lực, điều kiện và điều khoản áp dụng. Quý khách vui lòng xem chi tiết trước khi sử dụng.
Share
Cashback
Dining
Shopping
Skyjoy
Transport
Travel
Visa"
