title,telephone,fax,website,address
Hội Sở,(028)62915916,(028)62915900,,"25 Bis Nguyễn Thị Minh Khai, Quận 1, Thành Phố Hồ Chí Minh, Việt Nam"
CN Sài Gòn,(028) 38 299 344,(028) 38 299 371,https://hochiminh.hdbank.com.vn/,"22-24-26 Pasteur, Phường Nguyễn Thái Bình, Quận 1, Thành Phố Hồ Chí Minh, Việt Nam"
PGD Nam Kỳ Khởi Nghĩa,(028) 39 322 736,(028) 39 322 746,https://hochiminh.hdbank.com.vn/,"215 Nam Kỳ Khởi Nghĩa, Phường 7, Quận 3, Thành Phố Hồ Chí Minh, Việt Nam"
PGD Huỳnh Tấn Phát,(028) 37 738 648,(028) 37 738 646,https://hochiminh.hdbank.com.vn/,"705 Huỳnh Tấn Phát, P. Phú Thuận, Quận 7, Thành Phố Hồ Chí Minh, Việt Nam"
PGD Phú Mỹ Hưng,(028) 541 22 733,(028) 541 22 735,https://hochiminh.hdbank.com.vn/,"1485 Nguyễn Văn Linh, Khu Phố Mỹ Toàn 1, Phường Tân Phong, Quận 7, Thành Phố Hồ Chí Minh, Việt Nam"
PGD Khánh Hội,(028) 39435 870,(028) 39435 873,https://hochiminh.hdbank.com.vn/,"173 Đường Khánh Hội, phường 3, Quận 4, Thành Phố Hồ Chí Minh, Việt Nam"
PGD Bình Điền (Công Lý cũ),(028) 38424 432,(028) 38424 432,https://hochiminh.hdbank.com.vn/,"Sảnh văn phòng chợ Bình Điền, Đại lộ Nguyễn Văn Linh, Khu Phố 6, Phường 7, Quận 8, Thành Phố Hồ Chí Minh, Việt Nam"
CN Phú Nhuận,(0283) 628 6869,(0283) 628 6869,https://hochiminh.hdbank.com.vn/,"174 Phan Đăng Lưu, Phường 3, Quận Phú Nhuận, Thành Phố Hồ Chí Minh, Việt Nam"
PGD Tân Định,(028)38209485,(028)38209480,https://hochiminh.hdbank.com.vn/,"156 đường Trần Quang Khải, Phường Tân Định, Quận 1, Thành Phố Hồ Chí Minh, Việt Nam"
PGD Lê Quang Định,(028) 35501 101,(028) 35501 104,https://hochiminh.hdbank.com.vn/,"472 Đường Lê Quang Định, Phường 11, Quận Bình Thạnh, Thành Phố Hồ Chí Minh, Việt Nam"
PGD Thanh Đa,(028) 3899 8153,,https://hochiminh.hdbank.com.vn/,"667 Xô Viết Nghệ Tĩnh, Phường 26, Quận Bình Thạnh, Thành phố Hồ Chí Minh"
CN Lãnh Binh Thăng,(028)3868 7770,(028)3868 7773,https://hochiminh.hdbank.com.vn/,"449-451 Lý Thường Kiệt, phường 8, Quận Tân Bình, Thành Phố Hồ Chí Minh, Việt Nam"
PGD Lạc Long Quân,(028)39637053,(028)39637054,https://hochiminh.hdbank.com.vn/,"593 Bình Thới, Phường 10, Quận 11, Thành Phố Hồ Chí Minh, Việt Nam"
PGD Minh Phụng,(028) 39699 880,(028) 39699 882,https://hochiminh.hdbank.com.vn/,"169-171 Minh Phụng, Phường 9, Quận 6, Thành Phố Hồ Chí Minh, Việt Nam"
PGD Hòa Hưng,(028) 3868 3230,(028) 3868 3228,https://hochiminh.hdbank.com.vn/,"459 Sư Vạn Hạnh, Phường 12, Quận 10, Thành Phố Hồ Chí Minh, Việt Nam"
CN Nguyễn Trãi,(08)38363522,(08)39234679,https://hochiminh.hdbank.com.vn/,"207-209 Nguyễn Trãi, Phường 2, Quận 5, Thành Phố Hồ Chí Minh, Việt Nam"
